timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685457449311,2,SingIn,200,OK,Thread Group 1-4,text,true,,3921,605,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=41xSsAa6E0svn3pApR40QjOjE57iNxSs2y3n-DhP.ppss-vb?signonForm=,2,0,0
1685457449325,1,Home,200,OK,Thread Group 1-11,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,1,0,0
1685457449325,1,Home-0,302,Found,Thread Group 1-11,,true,,146,195,25,25,http://localhost:8080/jpetstore,1,0,0
1685457449326,0,Home-1,200,OK,Thread Group 1-11,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,0,0,0
1685457449552,2,Reptiles,200,OK,Thread Group 1-19,text,true,,3712,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,2,0,0
1685457449581,1,Reptiles,200,OK,Thread Group 1-20,text,true,,3712,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,1,0,0
1685457449597,1,Reptiles,200,OK,Thread Group 1-18,text,true,,3712,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,1,0,0
1685457449669,1,Reptiles,200,OK,Thread Group 1-23,text,true,,3712,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,1,0,0
1685457449698,1,Reptiles,200,OK,Thread Group 1-21,text,true,,3712,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,1,0,0
1685457449715,1,Reptiles,200,OK,Thread Group 1-22,text,true,,3712,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,1,0,0
1685457449774,2,SingOut,200,OK,Thread Group 1-17,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457449774,1,SingOut-0,302,Found,Thread Group 1-17,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1685457449775,1,SingOut-1,200,OK,Thread Group 1-17,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457449805,1,Main Catalog,200,OK,Thread Group 1-10,text,true,,4832,218,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457449892,1,SingIn,200,OK,Thread Group 1-7,text,true,,3923,605,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=41xSsAa6E0svn3pApR40QjOjE57iNxSs2y3n-DhP.ppss-vb?signonForm=,1,0,0
1685457450010,1,Main Catalog,200,OK,Thread Group 1-12,text,true,,4832,218,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457450031,2,Home,200,OK,Thread Group 1-15,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,1,0,0
1685457450031,1,Home-0,302,Found,Thread Group 1-15,,true,,146,195,25,25,http://localhost:8080/jpetstore,1,0,0
1685457450032,1,Home-1,200,OK,Thread Group 1-15,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,1,0,0
1685457450079,2,Main Catalog,200,OK,Thread Group 1-9,text,true,,4832,218,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685457450223,3,Main Catalog,200,OK,Thread Group 1-13,text,true,,4832,218,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685457450411,1,Reptiles,200,OK,Thread Group 1-24,text,true,,3712,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,1,0,0
1685457450509,2,Main Catalog,200,OK,Thread Group 1-14,text,true,,4832,218,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685457450513,0,SingIn,200,OK,Thread Group 1-6,text,true,,3925,605,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=41xSsAa6E0svn3pApR40QjOjE57iNxSs2y3n-DhP.ppss-vb?signonForm=,0,0,0
1685457450530,5,Home,200,OK,Thread Group 1-16,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,2,0,0
1685457450530,2,Home-0,302,Found,Thread Group 1-16,,true,,146,195,25,25,http://localhost:8080/jpetstore,2,0,0
1685457450532,3,Home-1,200,OK,Thread Group 1-16,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,3,0,0
1685457450602,1,Reptiles,200,OK,Thread Group 1-25,text,true,,3712,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,1,0,0
1685457450813,1,SingIn,200,OK,Thread Group 1-8,text,true,,3923,605,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=41xSsAa6E0svn3pApR40QjOjE57iNxSs2y3n-DhP.ppss-vb?signonForm=,1,0,0
1685457450917,2,Main Catalog,200,OK,Thread Group 1-11,text,true,,4832,218,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685457450917,5,Login,200,OK,Thread Group 1-2,text,true,,5262,1625,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685457450917,4,Login-0,302,Found,Thread Group 1-2,,true,,193,940,25,25,http://localhost:8080/jpetstore/actions/Account.action,4,0,0
1685457450921,1,Login-1,200,OK,Thread Group 1-2,text,true,,5069,685,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457451114,1,SingOut,200,OK,Thread Group 1-20,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457451114,1,SingOut-0,302,Found,Thread Group 1-20,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1685457451115,0,SingOut-1,200,OK,Thread Group 1-20,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,0,0,0
1685457451113,2,SingOut,200,OK,Thread Group 1-19,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457451113,1,SingOut-0,302,Found,Thread Group 1-19,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1685457451114,1,SingOut-1,200,OK,Thread Group 1-19,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457451173,2,SingOut,200,OK,Thread Group 1-18,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457451173,1,SingOut-0,302,Found,Thread Group 1-18,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1685457451174,1,SingOut-1,200,OK,Thread Group 1-18,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457451193,1,SingOut,200,OK,Thread Group 1-23,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,0,0,0
1685457451193,0,SingOut-0,302,Found,Thread Group 1-23,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,0,0,0
1685457451194,0,SingOut-1,200,OK,Thread Group 1-23,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,0,0,0
1685457451227,2,SingOut,200,OK,Thread Group 1-22,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457451227,1,SingOut-0,302,Found,Thread Group 1-22,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1685457451228,1,SingOut-1,200,OK,Thread Group 1-22,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457451245,3,SingOut,200,OK,Thread Group 1-21,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685457451245,2,SingOut-0,302,Found,Thread Group 1-21,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,2,0,0
1685457451247,1,SingOut-1,200,OK,Thread Group 1-21,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457451306,2,Home,200,OK,Thread Group 1-17,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,1,0,0
1685457451306,1,Home-0,302,Found,Thread Group 1-17,,true,,146,195,25,25,http://localhost:8080/jpetstore,1,0,0
1685457451307,1,Home-1,200,OK,Thread Group 1-17,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,1,0,0
1685457451343,2,SingIn,200,OK,Thread Group 1-10,text,true,,3921,605,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=41xSsAa6E0svn3pApR40QjOjE57iNxSs2y3n-DhP.ppss-vb?signonForm=,2,0,0
1685457451551,1,SingIn,200,OK,Thread Group 1-12,text,true,,3923,605,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=41xSsAa6E0svn3pApR40QjOjE57iNxSs2y3n-DhP.ppss-vb?signonForm=,1,0,0
1685457451577,1,Main Catalog,200,OK,Thread Group 1-15,text,true,,4832,218,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457451649,1,SingIn,200,OK,Thread Group 1-9,text,true,,3919,605,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=41xSsAa6E0svn3pApR40QjOjE57iNxSs2y3n-DhP.ppss-vb?signonForm=,1,0,0
1685457451778,2,SingIn,200,OK,Thread Group 1-13,text,true,,3925,605,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=41xSsAa6E0svn3pApR40QjOjE57iNxSs2y3n-DhP.ppss-vb?signonForm=,2,0,0
1685457451990,3,SingOut,200,OK,Thread Group 1-24,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685457451990,2,SingOut-0,302,Found,Thread Group 1-24,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,2,0,0
1685457451992,1,SingOut-1,200,OK,Thread Group 1-24,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457452060,3,SingIn,200,OK,Thread Group 1-14,text,true,,3921,605,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=41xSsAa6E0svn3pApR40QjOjE57iNxSs2y3n-DhP.ppss-vb?signonForm=,3,0,0
1685457452096,1,Main Catalog,200,OK,Thread Group 1-16,text,true,,4832,218,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457452112,2,SingOut,200,OK,Thread Group 1-25,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457452112,1,SingOut-0,302,Found,Thread Group 1-25,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1685457452113,1,SingOut-1,200,OK,Thread Group 1-25,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457452376,2,Login,200,OK,Thread Group 1-5,text,true,,5262,1625,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457452376,1,Login-0,302,Found,Thread Group 1-5,,true,,193,940,25,25,http://localhost:8080/jpetstore/actions/Account.action,1,0,0
1685457452378,0,Login-1,200,OK,Thread Group 1-5,text,true,,5069,685,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,0,0,0
1685457452432,2,Dogs,200,OK,Thread Group 1-2,text,true,,4296,248,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS,2,0,0
1685457452468,1,SingIn,200,OK,Thread Group 1-11,text,true,,3925,605,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=41xSsAa6E0svn3pApR40QjOjE57iNxSs2y3n-DhP.ppss-vb?signonForm=,1,0,0
1685457452570,4,Login,200,OK,Thread Group 1-3,text,true,,5262,1625,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685457452570,2,Login-0,302,Found,Thread Group 1-3,,true,,193,940,25,25,http://localhost:8080/jpetstore/actions/Account.action,2,0,0
1685457452573,1,Login-1,200,OK,Thread Group 1-3,text,true,,5069,685,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457452637,1,Home,200,OK,Thread Group 1-20,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,1,0,0
1685457452637,1,Home-0,302,Found,Thread Group 1-20,,true,,146,195,25,25,http://localhost:8080/jpetstore,1,0,0
1685457452638,0,Home-1,200,OK,Thread Group 1-20,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,0,0,0
1685457452647,1,Home,200,OK,Thread Group 1-19,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,1,0,0
1685457452647,1,Home-0,302,Found,Thread Group 1-19,,true,,146,195,25,25,http://localhost:8080/jpetstore,1,0,0
1685457452648,0,Home-1,200,OK,Thread Group 1-19,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,0,0,0
1685457452746,1,Home,200,OK,Thread Group 1-23,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,0,0,0
1685457452746,0,Home-0,302,Found,Thread Group 1-23,,true,,146,195,25,25,http://localhost:8080/jpetstore,0,0,0
1685457452746,1,Home-1,200,OK,Thread Group 1-23,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,1,0,0
1685457452748,1,Home,200,OK,Thread Group 1-18,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,0,0,0
1685457452748,0,Home-0,302,Found,Thread Group 1-18,,true,,146,195,25,25,http://localhost:8080/jpetstore,0,0,0
1685457452748,1,Home-1,200,OK,Thread Group 1-18,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,1,0,0
1685457452749,1,Home,200,OK,Thread Group 1-21,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,0,0,0
1685457452749,0,Home-0,302,Found,Thread Group 1-21,,true,,146,195,25,25,http://localhost:8080/jpetstore,0,0,0
1685457452749,1,Home-1,200,OK,Thread Group 1-21,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,1,0,0
1685457452754,1,Home,200,OK,Thread Group 1-22,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,0,0,0
1685457452754,0,Home-0,302,Found,Thread Group 1-22,,true,,146,195,25,25,http://localhost:8080/jpetstore,0,0,0
1685457452754,1,Home-1,200,OK,Thread Group 1-22,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,1,0,0
1685457452834,4,Login,200,OK,Thread Group 1-1,text,true,,5262,1625,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685457452834,1,Login-0,302,Found,Thread Group 1-1,,true,,193,940,25,25,http://localhost:8080/jpetstore/actions/Account.action,1,0,0
